icao_id,iata,airport_name,mean_txo,std_deviation,10th_perc,median,90th_perc,source
SBGR,GRU,Sao Paulo,18,6,12,16,27,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
SPIM,LIM,Lima Intl/Chavez,15,4,12,15,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
SVMI,CCS,Caracas Maiquetia,17,7,10,15,25,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
TFFR,PTP,Pointe?A?Pitre/Le Ra,17,4,13,16,21,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
TNCC,CUR,Curacao Intl/Aeropor,14,4,11,13,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
UAAA,ALA,Alma Ata,14,5,9,13,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
UACC,TSE,Tselinograd,16,4,11,15,21,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
UBBB,GYD,Baku,11,4,7,11,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
UKBB,KBP,Kiev ? Borispol,12,5,7,12,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
ULLI,LED,Sankt?Peterburg,15,6,8,15,23,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
UMMS,MSQ,Minsk?2,10,3,6,10,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
USSS,SVX,Yekaterinburg,14,4,10,13,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
UUDD,DME,Moskva/Domodedovo,16,8,10,14,23,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
UUEE,SVO,Moskva/Sheremetyevo,16,8,10,14,23,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
VABB,BOM,Bombay,17,6,11,16,25,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
VHHH,HKG,Hong Kong Intl,21,7,15,20,28,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
VIDP,DEL,Delhi,24,7,17,23,32,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
WSSS,SIN,Singapore/Changi,18,5,12,17,25,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
ZBAA,PEK,Beijing,24,11,14,21,39,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
ZSPD,PVG,Shanghai Pudong Intl,24,12,15,22,32,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
