icao_id,iata,airport_name,mean_txi,std_deviation,10th_perc,median,90th_perc,source
UACC,TSE,Tselinograd,8,3,5,8,12,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
UBBB,GYD,Baku,6,2,4,6,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
UKBB,KBP,Kiev ? Borispol,7,2,5,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
ULLI,LED,Sankt?Peterburg,8,5,3,8,14,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
UMMS,MSQ,Minsk?2,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
UUDD,DME,Moskva/Domodedovo,8,3,5,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
UUEE,SVO,Moskva/Sheremetyevo,7,3,4,6,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
VABB,BOM,Bombay,13,7,7,10,20,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
VHHH,HKG,Hong Kong Intl,7,3,4,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
VIDP,DEL,Delhi,15,8,8,12,23,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
WSSS,SIN,Singapore/Changi,7,3,4,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
ZBAA,PEK,Beijing,10,5,4,9,17,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
ZSPD,PVG,Shanghai Pudong Intl,9,3,5,8,13,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
